Accession	Unnamed: 0	Organism_Name	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Isolation_Source	date	BioSample	GenBank_Title	Division
OP345088.1	51	West Nile virus	?	Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	?	2023-04-10T00:00:00Z	Volgograd 839/21	Orthoflavivirus nilense	11044	complete	Russia: Volgograd	Russia	?	Culex pipiens	?	2021	?	West Nile virus isolate Volgograd 839/21, complete genome	Volgograd
AY278441.1	3260	West Nile virus	?	Voronina,A.G., Prilipov,A.G., Kinney,R.M., Samokhvalov,E.I., Savage,H.M., Alkhovsky,S.V., Tsychia,R., Sadykova,G.K., Shatalov,A.G., Usachev,E.V., Mokhonov,V.V., Butenko,A.M., Larichev,V.F., Gubler,D.J., Lvov,D.K.	Ivanovsky Virology Institute, Molecular Genetic	Russia	2003-05-03T00:00:00Z	Ast99-901	Orthoflavivirus nilense	10998	complete	Russia: Astrakhan, Volga delta	Russia	?	?	blood	?	?	West Nile virus isolate Ast99-901, complete genome	Astrakhan, Volga delta
DQ377178.1	3181	West Nile virus	?	Sadykova,G.K., Lyapina,O.V., Samokhvalov,E.I., Kinney,R.M., Tsychia,R., Prilipov,A.G.	Ivanovsky Virology Institute RAMS, Molecular Genetic laboratory	Russia	2006-02-14T00:00:00Z	Ast02-2-26	Orthoflavivirus nilense	10811	complete	Russia	Russia	?	Hyalomma marginatum	?	?	?	West Nile virus isolate Ast02-2-26, complete genome	?
FJ159131.1	3116	West Nile virus	?	Platonov,A.E., Shopenskaya,T.A., Fedorova,M.V., Karan,L.S., Frolov,A.I., Malenko,G.V., Levina,L.S., Pogodina,V.V.	Central Research Institute of Epidemiology	Russia	2008-09-23T00:00:00Z	8_1-05-Uu	Orthoflavivirus nilense	10845	complete	Russia: Volgograd	Russia	?	Uranotaenia	?	2005	?	West Nile virus isolate 8_1-05-Uu, complete genome	Volgograd
DQ374653.1	3180	West Nile virus	?	Lyapina,O.V., Sadykova,G.K., Samokhvalov,E.I., Kinney,R.M., Prilipov,A.G.	Ivanovsky Virology Institute RAMS, Molecular Genetic Laboratory	Russia	2006-02-14T00:00:00Z	Ast02-2-25	Orthoflavivirus nilense	10811	complete	Russia	Russia	?	Corvus cornix	?	?	?	West Nile virus isolate Ast02-2-25, complete genome	?
OP345093.1	56	West Nile virus	?	Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	?	2023-04-10T00:00:00Z	Volgograd 703/21	Orthoflavivirus nilense	11044	complete	Russia: Volgograd	Russia	?	Culex pipiens	?	2021	?	West Nile virus isolate Volgograd 703/21, complete genome	Volgograd
FJ425721.1	3110	West Nile virus	?	Platonov,A.E., Shopenskaya,T.A., Karan,L.S., Rusakova,N.V., Shishkina,L.V.	Central Research Institute of Epidemiology	Russia	2008-12-08T00:00:00Z	Reb_VLG_07_H	Orthoflavivirus nilense	10980	partial	Russia: Volgograd	Russia	?	Homo sapiens	brain	2007	?	West Nile virus isolate Reb_VLG_07_H polyprotein gene, complete cds	Volgograd
AY277252.1	3259	West Nile virus	?	Prilipov,A.G., Kinney,R.M., Samokhvalov,E.I., Savage,H.M., Alkhovsky,S.V., Tsychia,R., Gromashevsky,V.L., Sadykova,G.K., Shatalov,A.G., Usachev,E.V., Mokhonov,V.V., Voronina,A.G., Butenko,A.M., Larichev,V.F., Gubler,D.J., Lvov,D.K.	Ivanovsky Virology Institute, Molecular Genetic	Russia	2003-05-03T00:00:00Z	LEIV-Vlg99-27889	Orthoflavivirus nilense	10845	complete	Russia: Volgograd, low Volga	Russia	?	?	brain	?	?	West Nile virus isolate LEIV-Vlg99-27889, complete genome	Volgograd, low Volga
DQ374651.1	3178	West Nile virus	?	Lyapina,O.V., Sadykova,G.K., Samokhvalov,E.I., Kinney,R.M., Prilipov,A.G.	Ivanovsky Virology Institute RAMS, Molecular Genetic Laboratory	Russia	2006-02-14T00:00:00Z	Ast02-3-570	Orthoflavivirus nilense	10811	complete	Russia	Russia	?	Pica pica	?	?	?	West Nile virus isolate Ast02-3-570, complete genome	?
OP345097.1	60	West Nile virus	?	Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	?	2023-04-10T00:00:00Z	Volgograd 72/21	Orthoflavivirus nilense	11044	complete	Russia: Volgograd	Russia	?	Hyalomma marginatum	?	2021	?	West Nile virus isolate Volgograd 72/21, complete genome	Volgograd
JX041634.1	2638	West Nile virus	?	Prilipov,A.G., Kinney,R.M., Sadykova,G.K.	The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics	Russia	2012-07-31T00:00:00Z	?	Orthoflavivirus nilense	10998	complete	Russia: Astrakhan region	Russia	?	Homo sapiens	?	1999	?	West Nile virus strain Ast-986, complete genome	Astrakhan region
DQ411029.1	3170	West Nile virus	?	Sadykova,G.K., Kinney,R.M., Samokhvalov,E.I., Tsuhiya,K.R., Prilipov,A.G.	Ivanovsky Virology Institute RAMS, Molecular Genetic Laboratory	Russia	2006-03-15T00:00:00Z	Ast01-66	Orthoflavivirus nilense	10811	complete	Russia	Russia	?	Phalacrocorax carbo	?	?	?	West Nile virus isolate Ast01-66, complete genome	?
OP345100.1	63	West Nile virus	?	Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	?	2023-04-10T00:00:00Z	Dagestan 751/21	Orthoflavivirus nilense	11044	complete	Russia: Dagestan	Russia	?	Culex pipiens	?	2021	?	West Nile virus isolate Dagestan 751/21, complete genome	Dagestan
OP345101.1	64	West Nile virus	?	Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	?	2023-04-10T00:00:00Z	Astrakhan 962/21	Orthoflavivirus nilense	11044	complete	Russia: Astrakhan	Russia	?	Culex modestus	?	2021	?	West Nile virus isolate Astrakhan 962/21, complete genome	Astrakhan
DQ377179.1	3182	West Nile virus	?	Sadykova,G.K., Lyapina,O.V., Samokhvalov,E.I., Kinney,R.M., Tsychia,R., Prilipov,A.G.	Ivanovsky Virology Institute RAMS, Molecular Genetic laboratory	Russia	2006-02-14T00:00:00Z	Ast02-2-298	Orthoflavivirus nilense	10811	complete	Russia	Russia	?	Corvus frugilegus	?	?	?	West Nile virus isolate Ast02-2-298, complete genome	?
DQ411030.1	3171	West Nile virus	?	Sadykova,G.K., Kinney,R.M., Samokhvalov,E.I., Tsuhiya,K.R., Prilipov,A.G.	Ivanovsky Virology Institute RAMS, Molecular Genetic Laboratory	Russia	2006-03-15T00:00:00Z	Ast01-182	Orthoflavivirus nilense	10811	complete	Russia	Russia	?	Hyalomma marginatum	?	?	?	West Nile virus isolate Ast01-182, complete genome	?
MN619801.1	553	West Nile virus	?	Antonov,A.S., Avdyusheva,E.F., Negodenko,A.O., Boroday,N.V., Ustinov,D.V., Luchinin,D.N., Prilepskaya,D.R., Molchanova,E.V., Shpak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	Russia	2020-06-29T00:00:00Z	Volgograd696/18	Orthoflavivirus nilense	11046	complete	Russia: Volgograd region	Russia	?	Culex pipiens	?	2018	?	West Nile virus isolate Volgograd696/18, complete genome	Volgograd region
MN619800.1	552	West Nile virus	?	Antonov,A.S., Avdyusheva,E.F., Negodenko,A.O., Boroday,N.V., Ustinov,D.V., Luchinin,D.N., Prilepskaya,D.R., Molchanova,E.V., Shpak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	Russia	2020-06-29T00:00:00Z	Volgograd601/18	Orthoflavivirus nilense	10836	partial	Russia: Volgograd region	Russia	?	Culex modestus	?	2018	?	West Nile virus isolate Volgograd601/18, partial genome	Volgograd region
OP345106.1	69	West Nile virus	?	Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	?	2023-04-10T00:00:00Z	Volgograd 5/20	Orthoflavivirus nilense	11044	complete	Russia: Volgograd	Russia	?	Culex pipiens	?	2020	?	West Nile virus isolate Volgograd 5/20, complete genome	Volgograd
OP345107.1	70	West Nile virus	?	Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	?	2023-04-10T00:00:00Z	Volgograd 810/19	Orthoflavivirus nilense	10966	complete	Russia: Volgograd	Russia	?	Homo sapiens	?	2019	?	West Nile virus isolate Volgograd 810/19, complete genome	Volgograd
MN619802.1	554	West Nile virus	?	Antonov,A.S., Avdyusheva,E.F., Negodenko,A.O., Boroday,N.V., Ustinov,D.V., Luchinin,D.N., Prilepskaya,D.R., Molchanova,E.V., Shpak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	Russia	2020-06-29T00:00:00Z	Volgograd723/18	Orthoflavivirus nilense	11043	complete	Russia: Volgograd region	Russia	?	Culex pipiens	?	2018	?	West Nile virus isolate Volgograd723/18, complete genome	Volgograd region
OQ214888.1	12	West Nile virus	?	Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.	Volgograd Plague Control Research Institute, Laboratory of bioinformatics	?	2023-06-13T00:00:00Z	Kalmikia 499/22	Orthoflavivirus nilense	10901	complete	Russia: Kalmikia	Russia	?	Culex pipiens	?	2022	?	West Nile virus isolate Kalmikia 499/22, complete genome	Kalmikia
DQ374650.1	3177	West Nile virus	?	Lyapina,O.V., Sadykova,G.K., Samokhvalov,E.I., Prilipov,A.G., Kinney,R.M.	Ivanovsky Virology Institute RAMS, Molecular Genetic Laboratory	Russia	2006-02-14T00:00:00Z	Ast02-3-717	Orthoflavivirus nilense	10811	complete	Russia	Russia	?	Phalacrocorax carbo	?	?	?	West Nile virus isolate Ast02-3-717, complete genome	?
AY277251.1	3258	West Nile virus	?	Lvov,D.K., Butenko,A.M., Gromashevsky,V.L., Kovtunov,A.I., Prilipov,A.G., Kinney,R., Aristova,V.A., Dzharkenov,A.F., Samokhvalov,E.I., Savage,H.M., Shchelkanov,M.Y., Galkina,I.V., Deryabin,P.G., Gubler,D.J., Kulikova,L.N., Alkhovsky,S.K., Moskvina,T.M., Zlobina,L.V., Sadykova,G.K., Shatalov,A.G., Lvov,D.N., Usachev,V.E., Voronina,A.G., Kinney,R.M., Alkhovsky,S.V., Tsychia,R., Usachev,E.V., Vyshemirsky,O.I., Mokhonov,V.V., Larichev,V.F.	Ivanovsky Virology Institute, Molecular Genetic	Russia	2003-05-03T00:00:00Z	LEIV-Krnd88-190	Orthoflavivirus nilense	10741	complete	Russia	Russia	?	Dermacentor marginatus	?	?	?	West Nile virus isolate LEIV-Krnd88-190, complete genome	?
DQ411032.1	3173	West Nile virus	?	Sadykova,G.K., Kinney,R.M., Samokhvalov,E.I., Tsuhiya,K.R., Prilipov,A.G.	Ivanovsky Virology Institute RAMS, Molecular Genetic Laboratory	Russia	2006-03-15T00:00:00Z	Ast02-3-146	Orthoflavivirus nilense	10811	complete	Russia	Russia	?	Columba livia	?	?	?	West Nile virus isolate Ast02-3-146, complete genome	?
OP846979.1	209	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD253054/2013	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Culex neavei	?	2013	?	West Nile virus isolate ArD253054/2013 polyprotein gene, partial cds	?
ON813218.1	93	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2006 ArD 172145	Orthoflavivirus nilense	11000	partial	Senegal: Thille Boubacar region	Senegal	?	Culex antennatus	?	2006	?	West Nile virus isolate SN2006 ArD 172145 polyprotein gene, complete cds	Thille Boubacar region
OP870453.1	213	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD52432/1989	Orthoflavivirus nilense	10095	partial	Senegal	Senegal	?	Mansonia uniformis	?	1989	?	West Nile virus isolate ArD52432/1989 polyprotein gene, partial cds	?
OP870460.1	220	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD172162/2003	Orthoflavivirus nilense	10095	partial	Senegal	Senegal	?	Culex antennatus	?	2003	?	West Nile virus isolate ArD172162/2003 polyprotein gene, partial cds	?
OP846977.1	207	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD62891/1990	Orthoflavivirus nilense	10113	partial	Senegal	Senegal	?	Culex antennatus	?	1990	?	West Nile virus isolate ArD62891/1990 polyprotein gene, partial cds	?
OP846980.1	210	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD300516/2017	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Culex neavei	?	2017	?	West Nile virus isolate ArD300516/2017 polyprotein gene, partial cds	?
OP846978.1	208	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD251080/2012	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Culex neavei	?	2012	?	West Nile virus isolate ArD251080/2012 polyprotein gene, partial cds	?
OP870459.1	219	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD134613/1998	Orthoflavivirus nilense	10095	partial	Senegal	Senegal	?	Mansonia uniformis	?	1998	?	West Nile virus isolate ArD134613/1998 polyprotein gene, partial cds	?
OP846973.1	203	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD93548/1993	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Culex neavei	?	1993	?	West Nile virus isolate ArD93548/1993 polyprotein gene, partial cds	?
ON813214.1	89	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2012 251053	Orthoflavivirus nilense	10960	partial	Senegal: Barkedji region	Senegal	?	Culex neavei	?	2012	?	West Nile virus isolate SN2012 251053 polyprotein gene, complete cds	Barkedji region
OP846971.1	201	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD52398/1989	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Culex poicilipes	?	1989	?	West Nile virus isolate ArD52398/1989 polyprotein gene, partial cds	?
DQ318019.1	3206	West Nile virus	?	Borisevich,V.G., Seregin,A.V., Yamshchikov,V.F.	Molecular Biosciences	USA	2006-01-01T00:00:00Z	?	Orthoflavivirus nilense	11038	complete	Senegal	Senegal	?	?	?	?	?	West Nile virus strain ArD76104, complete genome	?
OP846981.1	211	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	HS309811/2018	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Homo sapiens	?	2018	?	West Nile virus isolate HS309811/2018 polyprotein gene, partial cds	?
ON813211.1	86	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2016 286301	Orthoflavivirus nilense	10968	partial	Senegal: Barkedji region	Senegal	?	Culex poicilipes	?	2016	?	West Nile virus isolate SN2016 286301 polyprotein gene, complete cds	Barkedji region
OP870456.1	216	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD54222/1989	Orthoflavivirus nilense	10095	partial	Senegal	Senegal	?	Culex neavei	?	1989	?	West Nile virus isolate ArD54222/1989 polyprotein gene, partial cds	?
OP870457.1	217	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD55667/1990	Orthoflavivirus nilense	10095	partial	Senegal	Senegal	?	Culex neavei	?	1990	?	West Nile virus isolate ArD55667/1990 polyprotein gene, partial cds	?
ON813215.1	90	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2012 241164	Orthoflavivirus nilense	10962	partial	Senegal: Barkedji region	Senegal	?	Culex perfuscus	?	2012	?	West Nile virus isolate SN2012 241164 polyprotein gene, complete cds	Barkedji region
ON813212.1	87	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2016 288154	Orthoflavivirus nilense	10972	partial	Senegal: Barkedji region	Senegal	?	Culex neavei	?	2016	?	West Nile virus isolate SN2016 288154 polyprotein gene, complete cds	Barkedji region
OP846974.1	204	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD120040/1996	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Culex neavei	?	1996	?	West Nile virus isolate ArD120040/1996 polyprotein gene, partial cds	?
GQ851606.1	2905	West Nile virus	?	May,F.J., Davis,C.T., Tesh,R.B., Barrett,A.D., Barrett,A.D.T.	UTMB, Pathology	USA	2010-09-13T00:00:00Z	?	Orthoflavivirus nilense	10951	partial	Senegal	Senegal	?	?	?	1979	?	West Nile virus strain ArD27875 polyprotein gene, complete cds	?
OP846976.1	206	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD54238/1989	Orthoflavivirus nilense	10092	partial	Senegal	Senegal	?	Culex poicilipes	?	1989	?	West Nile virus isolate ArD54238/1989 polyprotein gene, partial cds	?
KY703856.1	1316	West Nile virus	?	Fall,G., Di Paola,N., Faye,M., Dia,M., Freire,C.C.M., Loucoubar,C., Zanotto,P.M.A., Faye,O., Sall,A.A.	Institute of Biological Sciences, Universeity of Sao Paulo, Microbiology	Brazil	2017-11-15T00:00:00Z	ArD94343/1992/SN	Orthoflavivirus nilense	10302	partial	Senegal	Senegal	?	Culex perfuscus	?	1992	?	West Nile virus isolate ArD94343/1992/SN polyprotein gene, complete cds	?
OP846975.1	205	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD121684/1996	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Aedes dalzieli	?	1996	?	West Nile virus isolate ArD121684/1996 polyprotein gene, partial cds	?
ON813210.1	85	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2013 260164	Orthoflavivirus nilense	10967	partial	Senegal: Barkedji region	Senegal	?	Culex neavei	?	2013	?	West Nile virus isolate SN2013 260164 polyprotein gene, complete cds	Barkedji region
ON813216.1	91	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2012 240964	Orthoflavivirus nilense	10959	partial	Senegal: Barkedji region	Senegal	?	Culex quinquefasciatus	?	2012	?	West Nile virus isolate SN2012 240964 polyprotein gene, complete cds	Barkedji region
ON813217.1	92	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2006 ArD 172169	Orthoflavivirus nilense	10822	partial	Senegal: Thille Boubacar region	Senegal	?	Culex antennatus	?	2006	?	West Nile virus isolate SN2006 ArD 172169 polyprotein gene, complete cds	Thille Boubacar region
OP846982.1	212	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD285495/2016	Orthoflavivirus nilense	10104	partial	Senegal	Senegal	?	Culex perfuscus	?	2016	?	West Nile virus isolate ArD285495/2016 polyprotein gene, partial cds	?
KY703854.1	1314	West Nile virus	?	Fall,G., Di Paola,N., Faye,M., Dia,M., Freire,C.C.M., Loucoubar,C., Zanotto,P.M.A., Faye,O., Sall,A.A.	Institute of Biological Sciences, Universeity of Sao Paulo, Microbiology	Brazil	2017-11-15T00:00:00Z	ArD76986/1990/SN	Orthoflavivirus nilense	10302	partial	Senegal	Senegal	?	Culex poicilipes	?	1990	?	West Nile virus isolate ArD76986/1990/SN polyprotein gene, complete cds	?
OP870454.1	214	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD54113/1989	Orthoflavivirus nilense	10095	partial	Senegal	Senegal	?	Culex antennatus	?	1989	?	West Nile virus isolate ArD54113/1989 polyprotein gene, partial cds	?
OP870455.1	215	West Nile virus	?	Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.	Institut Pasteur de Dakar, Virology	Senegal	2023-01-01T00:00:00Z	ArD52473/1990	Orthoflavivirus nilense	10095	partial	Senegal	Senegal	?	Culex antennatus	?	1990	?	West Nile virus isolate ArD52473/1990 polyprotein gene, partial cds	?
ON813219.1	94	West Nile virus	?	Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2023-03-20T00:00:00Z	SN2006 ArD 166355	Orthoflavivirus nilense	11000	partial	Senegal: Barkedji region	Senegal	?	Aedes vexans	?	2006	?	West Nile virus isolate SN2006 ArD 166355 polyprotein gene, complete cds	Barkedji region
KY703855.1	1315	West Nile virus	?	Fall,G., Di Paola,N., Faye,M., Dia,M., Freire,C.C.M., Loucoubar,C., Zanotto,P.M.A., Faye,O., Sall,A.A.	Institute of Biological Sciences, Universeity of Sao Paulo, Microbiology	Brazil	2017-11-15T00:00:00Z	ArD96655/1993/SN	Orthoflavivirus nilense	10302	partial	Senegal	Senegal	?	Rhipicephalus guilhoni	?	1993	?	West Nile virus isolate ArD96655/1993/SN polyprotein gene, complete cds	?
