Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
JF957180.1,West Nile virus,,"Anez,G., Grinev,A., Chancey,C., Ball,C., Akolkar,N., Land,K.J., Winkelman,V., Stramer,S.L., Kramer,L.D., Rios,M.",FDA/CBER,USA,2013-05-13T00:00:00Z,BSL20-09,Orthoflavivirus nilense,11029,complete,USA: NV,USA,NV,,,2009,,"West Nile virus isolate BSL20-09, complete genome"
JF957181.1,West Nile virus,,"Anez,G., Grinev,A., Chancey,C., Ball,C., Akolkar,N., Land,K.J., Winkelman,V., Stramer,S.L., Kramer,L.D., Rios,M.",FDA/CBER,USA,2013-05-13T00:00:00Z,BSL22-09,Orthoflavivirus nilense,11029,complete,USA: SD,USA,SD,,,2009,,"West Nile virus isolate BSL22-09, complete genome"
JF957182.1,West Nile virus,,"Anez,G., Grinev,A., Chancey,C., Ball,C., Akolkar,N., Land,K.J., Winkelman,V., Stramer,S.L., Kramer,L.D., Rios,M.",FDA/CBER,USA,2013-05-13T00:00:00Z,BSL24-09,Orthoflavivirus nilense,11029,complete,USA: TX,USA,TX,,,2009,,"West Nile virus isolate BSL24-09, complete genome"
JF957183.1,West Nile virus,,"Anez,G., Grinev,A., Chancey,C., Ball,C., Akolkar,N., Land,K.J., Winkelman,V., Stramer,S.L., Kramer,L.D., Rios,M.",FDA/CBER,USA,2013-05-13T00:00:00Z,BSL27-09,Orthoflavivirus nilense,11029,complete,USA: TX,USA,TX,,,2009,,"West Nile virus isolate BSL27-09, complete genome"
JF957184.1,West Nile virus,,"Anez,G., Grinev,A., Chancey,C., Ball,C., Akolkar,N., Land,K.J., Winkelman,V., Stramer,S.L., Kramer,L.D., Rios,M.",FDA/CBER,USA,2013-05-13T00:00:00Z,CO7-09,Orthoflavivirus nilense,11029,complete,USA: CO,USA,CO,,,2009,,"West Nile virus isolate CO7-09, complete genome"
JF957185.1,West Nile virus,,"Anez,G., Grinev,A., Chancey,C., Ball,C., Akolkar,N., Land,K.J., Winkelman,V., Stramer,S.L., Kramer,L.D., Rios,M.",FDA/CBER,USA,2013-05-13T00:00:00Z,BSL2-10,Orthoflavivirus nilense,11029,complete,USA: AZ,USA,AZ,,,2010,,"West Nile virus isolate BSL2-10, complete genome"
JF957186.1,West Nile virus,,"Anez,G., Grinev,A., Chancey,C., Ball,C., Akolkar,N., Land,K.J., Winkelman,V., Stramer,S.L., Kramer,L.D., Rios,M.",FDA/CBER,USA,2013-05-13T00:00:00Z,BSL3-10,Orthoflavivirus nilense,11029,complete,USA: AZ,USA,AZ,,,2010,,"West Nile virus isolate BSL3-10, complete genome"
KC407666.1,West Nile virus,,"Blazquez,A.B.","Instit. Nac. Investigaciones Agrarias, Biotechnology",Spain,2013-04-01T00:00:00Z,,Orthoflavivirus nilense,11029,complete,,,,,,,,"West Nile virus strain NY-99, complete genome"
KC407667.1,West Nile virus,,"Blazquez,A.-B., Escribano-Romero,E., Saiz,J.-C., Martin-Acebes,M.A., Blazquez,A.B.","Instit. Nac. Investigaciones Agrarias, Biotechnology",Spain,2013-04-01T00:00:00Z,,Orthoflavivirus nilense,11029,complete,Spain,Spain,,Mus musculus,,2007,,"West Nile virus strain ABB-B13, complete genome"
KC407673.1,West Nile virus,,"Petrovic,T., Blazquez,A.B., Lupulovic,D., Lazic,G., Escribano-Romero,E., Fabijan,D., Kapetanov,M., Lazic,S., Saiz,J.-C.","Instit. Nac. Investigaciones Agrarias, Biotechnology",Spain,2013-04-01T00:00:00Z,Sad/12,Orthoflavivirus nilense,11028,complete,Serbia,Serbia,,Accipiter gentilis,,2012,,"West Nile virus isolate Sad/12, complete genome"
KC601756.1,West Nile virus,,"Balakrishnan,A., Butte,D.K., Jadhav,S.M., Anukumar,B., Mourya,D.T.","National Institute of Virology, Kerala Unit",India,2013-04-01T00:00:00Z,1048813,Orthoflavivirus nilense,10948,complete,India: Kerala,India,,Homo sapiens,,2011-02,,"West Nile virus isolate 1048813, complete genome"
KC243146.1,West Nile virus,,"Lwande,O., Venter,M., Lutomiah,J., Michuki,G., Rumberia,C., Gakuya,F., Obanda,V., Tigoi,C., Odhiambo,C., Nindo,F., Symekher,S., Sang,R., Lwande,O.W., Michuki,G.N., Rumberia,C.N., Fischer,A.","ILRI, Biotechnology",Kenya,2013-03-10T00:00:00Z,ATH002316,Orthoflavivirus nilense,10864,partial,"Kenya: Ijara, North Eastern Province",Kenya,,Rhipicephalus pulchellus,,2010-11-27,,"West Nile virus isolate ATH002316, partial genome"
JX123030.1,West Nile virus,,"Mann,R.A., Fegan,M., O'Riley,K., Motha,J., Warner,S.","Department of Primary Industries Victoria, Biosciences Research Division",Australia,2013-01-01T00:00:00Z,V11-03,Orthoflavivirus nilense,10983,complete,Australia,Australia,,Equus caballus,,2011-03-07,,"West Nile virus isolate V11-03, complete genome"
JX123031.1,West Nile virus,,"Mann,R.A., Fegan,M., O'Riley,K., Motha,J., Warner,S.","Department of Primary Industries Victoria, Biosciences Research Division",Australia,2013-01-01T00:00:00Z,V11-07,Orthoflavivirus nilense,10983,complete,Australia,Australia,,Equus caballus,,2011-03-15,,"West Nile virus isolate V11-07, complete genome"
JX015515.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR5-2686,Orthoflavivirus nilense,10954,partial,"USA: El Paso, Texas",USA,TX,Culex tarsalis,,2005-06-28,,"West Nile virus isolate TX_AR5-2686 polyprotein gene, complete cds"
JX015516.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR7-6745,Orthoflavivirus nilense,11002,partial,"USA: El Paso, Texas",USA,TX,Culex tarsalis,,2007-08-14,,"West Nile virus isolate TX_AR7-6745 polyprotein gene, complete cds"
JX015517.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR8-5947,Orthoflavivirus nilense,10994,partial,"USA: El Paso, Texas",USA,TX,Culex tarsalis,,2008-08-26,,"West Nile virus isolate TX_AR8-5947 polyprotein gene, complete cds"
JX015518.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR8-6866,Orthoflavivirus nilense,11001,partial,"Mexico: Cuidad Juarez, Chihuahua State",Mexico,,Culex quinquefasciatus,,2008-09-09,,"West Nile virus isolate TX_AR8-6866 polyprotein gene, complete cds"
JX015519.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR9-5282,Orthoflavivirus nilense,11018,partial,"USA: El Paso, Texas",USA,TX,Culex quinquefasciatus,,2009-07-28,,"West Nile virus isolate TX_AR9-5282 polyprotein gene, complete cds"
JX015520.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR9-6115,Orthoflavivirus nilense,10949,partial,"Mexico: Cuidad Juarez, Chihuahua State",Mexico,,Culex quinquefasciatus,,2009-08-11,,"West Nile virus isolate TX_AR9-6115 polyprotein gene, complete cds"
JX015521.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR9-7465,Orthoflavivirus nilense,10999,partial,"USA: El Paso, Texas",USA,TX,Culex tarsalis,,2009-09-01,,"West Nile virus isolate TX_AR9-7465 polyprotein gene, complete cds"
JX015522.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR10-5718,Orthoflavivirus nilense,10976,partial,"USA: El Paso, Texas",USA,TX,Culex tarsalis,,2010-08-17,,"West Nile virus isolate TX_AR10-5718 polyprotein gene, complete cds"
JX015523.1,West Nile virus,,"Mann,B.R., McMullen,A.R., Guzman,H., Tesh,R.B., Barrett,A.D., D'Anton,M.M., Barrett,A.D.T.","The University of Texas Medical Branch, Pathology",USA,2012-11-21T00:00:00Z,TX_AR10-6572,Orthoflavivirus nilense,10997,partial,"USA: El Paso, Texas",USA,TX,Culex tarsalis,,2010-08-31,,"West Nile virus isolate TX_AR10-6572 polyprotein gene, complete cds"
JX503084.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15493,Orthoflavivirus nilense,11174,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15493 genomic sequence
JX503085.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15494,Orthoflavivirus nilense,11243,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15494 genomic sequence
JX503086.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15495,Orthoflavivirus nilense,11186,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15495 genomic sequence
JX503087.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15496,Orthoflavivirus nilense,11237,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15496 genomic sequence
JX503088.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15497,Orthoflavivirus nilense,11201,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15497 genomic sequence
JX503089.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15498,Orthoflavivirus nilense,11185,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15498 genomic sequence
JX503090.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15499,Orthoflavivirus nilense,11187,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15499 genomic sequence
JX503091.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15500,Orthoflavivirus nilense,11187,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15500 genomic sequence
JX503092.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15501,Orthoflavivirus nilense,11191,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15501 genomic sequence
JX503093.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15502,Orthoflavivirus nilense,11178,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15502 genomic sequence
JX503094.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15503,Orthoflavivirus nilense,11183,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15503 genomic sequence
JX503095.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15504,Orthoflavivirus nilense,11244,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15504 genomic sequence
JX503096.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15505,Orthoflavivirus nilense,10954,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15505 genomic sequence
JX503097.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15506,Orthoflavivirus nilense,11231,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15506 genomic sequence
JX503098.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15507,Orthoflavivirus nilense,11183,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15507 genomic sequence
JX503099.1,West Nile virus,,"Malboeuf,C.M., Yang,X., Charlebois,P., Qu,J., Berlin,A.M., Casali,M., Pesko,K.N., Boutwell,C.L., DeVincenzo,J.P., Ebel,G.D., Allen,T.M., Zody,M.C., Henn,M.R., Levin,J.Z.",Broad Institute of MIT and Harvard,USA,2012-09-19T00:00:00Z,WNV/USA/BID-G15508,Orthoflavivirus nilense,11195,partial,USA,USA,,,,,,UNVERIFIED: West Nile virus isolate WNV/USA/BID-G15508 genomic sequence
JX276662.1,Kunjin virus,,"Amanna,I.J., Slifka,M.K.","Najit Technologies, Inc.",USA,2012-09-18T00:00:00Z,,Orthoflavivirus nilense,10927,partial,,,,,,2012-02-06,,"Kunjin virus strain CH16532 polyprotein gene, complete cds"
JX556213.1,West Nile virus,,"Barzon,L., Pacenti,M., Franchin,E., Martello,T., Lavezzo,E., Squarzon,L., Toppo,S., Fiorin,F., Marchiori,G., Scotton,G., Russo,F., Cattai,M., Cusinato,R., Palu,G.","University of Padua, Department of Molecular Medicine",Italy,2012-09-12T00:00:00Z,,Orthoflavivirus nilense,10736,complete,"Italy: Veneto region, Venice province",Italy,,Homo sapiens,,2012-08-03,,"West Nile virus strain Italy/2012/Livenza/31.1, complete genome"
JQ928174.1,West Nile virus,,"Barzon,L., Pacenti,M., Franchin,E., Lavezzo,E., Martello,T., Squarzon,L., Toppo,S., Fiorin,F., Marchiori,G., Russo,F., Cattai,M., Cusinato,R., Palu,G.","University of Padua, Department of Molecular Medicine",Italy,2012-08-12T00:00:00Z,,Orthoflavivirus nilense,10714,complete,"Italy: Veneto region, Treviso",Italy,,Homo sapiens,blood,2011-09,,"West Nile virus strain Italy/2011/Livenza, complete genome"
JQ928175.1,West Nile virus,,"Barzon,L., Pacenti,M., Franchin,E., Lavezzo,E., Martello,T., Squarzon,L., Toppo,S., Fiorin,F., Marchiori,G., Russo,F., Cattai,M., Cusinato,R., Palu,G.","University of Padua, Department of Molecular Medicine",Italy,2012-08-12T00:00:00Z,,Orthoflavivirus nilense,10477,complete,"Italy: Veneto region, Treviso",Italy,,Homo sapiens,urine,2011-09,,"West Nile virus strain Italy/2011/Piave, complete genome"
JX070655.1,West Nile virus,,"Prilipov,A.G., Sadykova,G.K., Kinney,R.M.","The D.I.Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics",Russia,2012-08-01T00:00:00Z,,Orthoflavivirus nilense,10845,complete,Tajikistan,Tajikistan,,,,,,"West Nile virus strain T-1304, complete genome"
JX041628.1,West Nile virus,,"Prilipov,A.G., Kinney,R.M., Sadykova,G.K.","The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics",Russia,2012-07-31T00:00:00Z,,Orthoflavivirus nilense,10942,complete,Azerbaijan,Azerbaijan,,Alectorobius capensis,,1970,,"West Nile virus strain LEIV-72Az, complete genome"
JX041629.1,West Nile virus,,"Prilipov,A.G., Kinney,R.M., Sadykova,G.K.","The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics",Russia,2012-07-31T00:00:00Z,,Orthoflavivirus nilense,10898,complete,Azerbaijan,Azerbaijan,,Aves,,1967,,"West Nile virus strain LEIV-1628Az, complete genome"
JX041630.1,West Nile virus,,"Prilipov,A.G., Kinney,R.M., Sadykova,G.K.","The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics",Russia,2012-07-31T00:00:00Z,,Orthoflavivirus nilense,10810,complete,Azerbaijan,Azerbaijan,,Aves,,1967,,"West Nile virus strain LEIV-1640Az, complete genome"
JX041631.1,West Nile virus,,"Prilipov,A.G., Kinney,R.M., Sadykova,G.K.","The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics",Russia,2012-07-31T00:00:00Z,,Orthoflavivirus nilense,10820,complete,Ukraine: Lviv region,Ukraine,,Aves,,1980,,"West Nile virus strain LEIV-3266Ukr, complete genome"
JX041632.1,West Nile virus,,"Prilipov,A.G., Kinney,R.M., Sadykova,G.K.","The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics",Russia,2012-07-31T00:00:00Z,,Orthoflavivirus nilense,10900,complete,India: Madras state,India,,Culex vishnui,,1955,,"West Nile virus strain Ig2266, complete genome"
JX041633.1,West Nile virus,,"Prilipov,A.G., Kinney,R.M., Sadykova,G.K.","The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics",Russia,2012-07-31T00:00:00Z,,Orthoflavivirus nilense,10114,partial,Russia: Astrakhan region,Russia,,Hyalomma plumbeum plumbeum,,1963,,"West Nile virus strain Hp-94, partial genome"
JX041634.1,West Nile virus,,"Prilipov,A.G., Kinney,R.M., Sadykova,G.K.","The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics",Russia,2012-07-31T00:00:00Z,,Orthoflavivirus nilense,10998,complete,Russia: Astrakhan region,Russia,,Homo sapiens,,1999,,"West Nile virus strain Ast-986, complete genome"
HV572312.1,West Nile virus,,"Hennessy,K.J., Hayes,P.W.",,,2012-05-31T00:00:00Z,,Orthoflavivirus nilense,11029,partial,,,,,,,,JP 2012501350-A/23: WEST NILE VIRUS
JN887352.1,West Nile virus,,"Frost,M.J., Zhang,J., Edmonds,J.H., Prow,N.A., Gu,X., Davis,R., Hornitzky,C., Arzey,K.E., Finlaison,D., Hick,P., Read,A., Hobson-Peters,J., May,F.J., Doggett,S.L., Haniotis,J., Russell,R.C., Hall,R.A., Khromykh,A.A., Kirkland,P.D.","Elizabeth Macarthur Agricultural Institute, Virology",Australia,2012-05-07T00:00:00Z,NSW2011,Orthoflavivirus nilense,10923,partial,Australia,Australia,,Equus caballus,,2011,,"West Nile virus isolate NSW2011 polyprotein gene, complete cds"
JN716371.1,West Nile virus,,"Osorio,J.E., Ciuoderis,K.A., Lopera,J.G., Piedrahita,L.D., Murphy,D., Levasseur,J., Carrillo,L., Ocampo,M.C., Hofmeister,E.","University of Wisconsin, Dept. of Pathobiological Sciences",USA,2012-02-27T00:00:00Z,COL524/08,Orthoflavivirus nilense,10754,partial,Colombia: Medellin,Colombia,,Phoenicopterus ruber,,2008-07,,"West Nile virus isolate COL524/08 polyprotein gene, complete cds"
JN716372.1,West Nile virus,,"Osorio,J.E., Ciuoderis,K.A., Lopera,J.G., Piedrahita,L.D., Murphy,D., Levasseur,J., Carrillo,L., Ocampo,M.C., Hofmeister,E.","University of Wisconsin, Dept. of Pathobiological Sciences",USA,2012-02-27T00:00:00Z,COL9835/08,Orthoflavivirus nilense,10754,partial,Colombia: Medellin,Colombia,,Phoenicopterus ruber,,2008-07,,"West Nile virus isolate COL9835/08 polyprotein gene, complete cds"
JN819305.1,West Nile virus,,"Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2012-02-08T00:00:00Z,WNV-1/BID-V5030,Orthoflavivirus nilense,10692,complete,,,,,,,,"West Nile virus isolate WNV-1/BID-V5030, complete genome"
JN819306.1,West Nile virus,,"Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2012-02-08T00:00:00Z,WNV-1/BID-V5031,Orthoflavivirus nilense,10592,complete,,,,,,,,"West Nile virus isolate WNV-1/BID-V5031, complete genome"
JN819307.1,West Nile virus,,"Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2012-02-08T00:00:00Z,WNV-1/BID-V5032,Orthoflavivirus nilense,10584,complete,,,,,,,,"West Nile virus isolate WNV-1/BID-V5032, complete genome"
JN819308.1,West Nile virus,,"Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2012-02-08T00:00:00Z,WNV-1/BID-V5033,Orthoflavivirus nilense,10484,partial,,,,,,,,"West Nile virus isolate WNV-1/BID-V5033, partial genome"
JN819309.1,West Nile virus,,"Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2012-02-08T00:00:00Z,WNV-1/BID-V5036,Orthoflavivirus nilense,10464,complete,,,,,,,,"West Nile virus isolate WNV-1/BID-V5036, complete genome"
