,Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,date,BioSample,GenBank_Title,Division
3056,HM756651.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4584/2003,Orthoflavivirus nilense,10637,complete,USA: Connecticut,USA,CT,Ochlerotatus trivittatus,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4584/2003, complete genome",Connecticut
3057,HM756652.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4587/2003,Orthoflavivirus nilense,10619,complete,USA: Connecticut,USA,CT,Aedes cinereus,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4587/2003, complete genome",Connecticut
3058,HM756653.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4588/2003,Orthoflavivirus nilense,10621,complete,USA: Connecticut,USA,CT,Culex pipiens,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4588/2003, complete genome",Connecticut
3059,HM756654.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4598/2003,Orthoflavivirus nilense,10509,complete,USA: Connecticut,USA,CT,Culex salinarius,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4598/2003, complete genome",Connecticut
3060,HM756655.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4600/2003,Orthoflavivirus nilense,10312,partial,USA: Connecticut,USA,CT,Culex salinarius,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4600/2003, partial genome",Connecticut
3061,HM756656.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4615/2003,Orthoflavivirus nilense,10649,complete,USA: Connecticut,USA,CT,Culiseta melanura,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4615/2003, complete genome",Connecticut
3062,HM756657.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4685/2003,Orthoflavivirus nilense,11026,complete,USA: Connecticut,USA,CT,Culex pipiens,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4685/2003, complete genome",Connecticut
3063,HM756658.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4686/2003,Orthoflavivirus nilense,10613,complete,USA: Connecticut,USA,CT,Culiseta melanura,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4686/2003, complete genome",Connecticut
3064,HM756659.1,West Nile virus,?,"Armstrong,P.M., Vossbrinck,C.R., Andreadis,T.G., Anderson,J.F., Pesko,K.N., Newman,R.M., Lennon,N.J., Birren,B.W., Ebel,G.D., Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Armstrong,P., Anderson,J., Andreadis,T., Vossbrinck,C., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4687/2003,Orthoflavivirus nilense,10660,complete,USA: Connecticut,USA,CT,Culiseta melanura,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4687/2003, complete genome",Connecticut
3065,HM756660.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4097/2008,Orthoflavivirus nilense,10547,complete,USA: New York,USA,NY,Accipiter cooperii,brain,2008,?,"West Nile virus isolate WNV-1/US/BID-V4097/2008, complete genome",New York
3066,HM756661.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4692/2001,Orthoflavivirus nilense,10613,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2001,?,"West Nile virus isolate WNV-1/US/BID-V4692/2001, complete genome",New York
3067,HM756662.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4693/2001,Orthoflavivirus nilense,10612,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2001,?,"West Nile virus isolate WNV-1/US/BID-V4693/2001, complete genome",New York
3068,HM756663.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4697/2001,Orthoflavivirus nilense,10611,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2001,?,"West Nile virus isolate WNV-1/US/BID-V4697/2001, complete genome",New York
3069,HM756664.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4701/2002,Orthoflavivirus nilense,10611,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2002,?,"West Nile virus isolate WNV-1/US/BID-V4701/2002, complete genome",New York
3070,HM756665.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4709/2002,Orthoflavivirus nilense,10488,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2002,?,"West Nile virus isolate WNV-1/US/BID-V4709/2002, complete genome",New York
3071,HM756666.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4711/2003,Orthoflavivirus nilense,10611,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2003,?,"West Nile virus isolate WNV-1/US/BID-V4711/2003, complete genome",New York
3072,HM756667.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4712/2003,Orthoflavivirus nilense,10613,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2003,?,"West Nile virus isolate WNV-1/US/BID-V4712/2003, complete genome",New York
3073,HM756668.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4716/2003,Orthoflavivirus nilense,10608,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2003,?,"West Nile virus isolate WNV-1/US/BID-V4716/2003, complete genome",New York
3074,HM756669.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4718/2003,Orthoflavivirus nilense,10413,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2003,?,"West Nile virus isolate WNV-1/US/BID-V4718/2003, complete genome",New York
3075,HM756670.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4720/2003,Orthoflavivirus nilense,10612,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2003,?,"West Nile virus isolate WNV-1/US/BID-V4720/2003, complete genome",New York
3076,HM756671.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4798/2004,Orthoflavivirus nilense,10612,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2004,?,"West Nile virus isolate WNV-1/US/BID-V4798/2004, complete genome",New York
3077,HM756672.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4799/2004,Orthoflavivirus nilense,10454,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2004,?,"West Nile virus isolate WNV-1/US/BID-V4799/2004, complete genome",New York
3078,HM756673.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4801/2004,Orthoflavivirus nilense,10612,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2004,?,"West Nile virus isolate WNV-1/US/BID-V4801/2004, complete genome",New York
3079,HM756674.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4802/2004,Orthoflavivirus nilense,10303,partial,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2004,?,"West Nile virus isolate WNV-1/US/BID-V4802/2004, partial genome",New York
3080,HM756675.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4806/2005,Orthoflavivirus nilense,10612,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2005,?,"West Nile virus isolate WNV-1/US/BID-V4806/2005, complete genome",New York
3081,HM756676.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Goldberg,T.L., Kitron,U.D., Ruiz,M.O., Walker,E.D., Brawn,J.D., Loss,S.R., Hamer,G.L., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4349/2003,Orthoflavivirus nilense,10478,complete,USA: Illinois,USA,IL,Cyanocitta cristata,?,2003,?,"West Nile virus isolate WNV-1/US/BID-V4349/2003, complete genome",Illinois
3082,HM756677.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Aragon,A., Nusbaum,C., Ebel,G., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4530/2005,Orthoflavivirus nilense,10617,complete,USA: New Mexico,USA,NM,Loriini,"kidney, abdominal cavity",2005,?,"West Nile virus isolate WNV-1/US/BID-V4530/2005, complete genome",New Mexico
3083,HM756678.1,West Nile virus,?,"Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Kramer,L., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2010-07-28T00:00:00Z,WNV-1/US/BID-V4095/2007,Orthoflavivirus nilense,10621,complete,USA: New York,USA,NY,Corvus brachyrhynchos,brain,2007,?,"West Nile virus isolate WNV-1/US/BID-V4095/2007, complete genome",New York
